"personTc","loanId","incomeStabilityScore","debtToIncomeRatio","paymentDisciplineRatio","latePaymentSeverity","ageIncomeRatio","creditExperienceRatio","avgDebtPerCount","onTimeAmountRatio","lateDebtFrequency","monthlyPaymentCapacity","loanDurationExperience","collateralToIncome","collateralPerMonth","creditUtilizationRatio","age","monthlyIncome","employmentStatusCode","educationLevelCode","maritalStatusCode","loanTypeCode","loanTerm","totalDebtCount","totalDebtAmount","onTimeDebtCount","onTimeDebtAmount","lateDebtCount","lateDebtAmount","loanApplicationsLastYear","creditCardLimit","currentCardDebt","creditCardUsageDuration","collateralCount","totalCollateralValue","creditScore","eligibleLoanAmount"
"10000000001","1","0.6000000000000001","0.06818181818181818","1.0","0.0","1157.8947368421052","0.05263157894736842","750.0","1.0","0.0","1833.3333333333333","12.0","0.0","0.0","0.16666666666666666","19","22000.0","6","4","1","1","12","2","1500.0","2","1500.0","0","0.0","1","3000.0","500.0","1","0","0.0","12477","111300.0"
"10000000001","1075","0.6000000000000001","0.06818181818181818","1.0","0.0","1157.8947368421052","0.05263157894736842","750.0","1.0","0.0","244.44444444444446","90.0","1.9090909090909092","466.6666666666667","0.16666666666666666","19","22000.0","6","4","1","3","90","2","1500.0","2","1500.0","0","0.0","1","3000.0","500.0","1","1","42000.0","13397","120500.0"
"10000000001","1152","0.6000000000000001","0.06818181818181818","1.0","0.0","1157.8947368421052","0.05263157894736842","750.0","1.0","0.0","407.4074074074074","54.0","0.0","0.0","0.16666666666666666","19","22000.0","6","4","1","5","54","2","1500.0","2","1500.0","0","0.0","1","3000.0","500.0","1","0","0.0","12477","111300.0"
"10000000001","252","0.6000000000000001","0.06818181818181818","1.0","0.0","1157.8947368421052","0.05263157894736842","750.0","1.0","0.0","611.1111111111111","36.0","0.0","0.0","0.16666666666666666","19","22000.0","6","4","1","4","36","2","1500.0","2","1500.0","0","0.0","1","3000.0","500.0","1","0","0.0","12477","111300.0"
"10000000001","762","0.6000000000000001","0.06818181818181818","1.0","0.0","1157.8947368421052","0.05263157894736842","750.0","1.0","0.0","244.44444444444446","90.0","0.591165909090909","144.50722222222223","0.16666666666666666","19","22000.0","6","4","1","3","90","2","1500.0","2","1500.0","0","0.0","1","3000.0","500.0","1","1","13005.65","12817","117601.0"
"10000000001","839","0.6000000000000001","0.06818181818181818","1.0","0.0","1157.8947368421052","0.05263157894736842","750.0","1.0","0.0","407.4074074074074","54.0","16.815347272727273","6850.697037037037","0.16666666666666666","19","22000.0","6","4","1","5","54","2","1500.0","2","1500.0","0","0.0","1","3000.0","500.0","1","2","369937.64","20036","158294.0"
"10000000001","953","0.6000000000000001","0.06818181818181818","1.0","0.0","1157.8947368421052","0.05263157894736842","750.0","1.0","0.0","152.77777777777777","144.0","0.5680313636363636","86.78256944444445","0.16666666666666666","19","22000.0","6","4","1","4","144","2","1500.0","2","1500.0","0","0.0","1","3000.0","500.0","1","1","12496.69","12807","117550.0"
"10000000002","1011","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","219.2982456140351","57.0","0.0","0.0","0.625","22","25000.0","2","2","1","2","114","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","0","0.0","12861","105150.0"
"10000000002","1051","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","277.77777777777777","45.0","0.4","111.11111111111111","0.625","22","25000.0","2","2","1","2","90","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","1","10000.0","13141","111150.0"
"10000000002","1160","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","1388.888888888889","9.0","0.52","722.2222222222222","0.625","22","25000.0","2","2","1","3","18","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","1","13000.0","13201","111450.0"
"10000000002","1170","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","595.2380952380952","21.0","4.2","2500.0","0.625","22","25000.0","2","2","1","2","42","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","1","105000.0","15041","120650.0"
"10000000002","1221","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","520.8333333333334","24.0","0.0","0.0","0.625","22","25000.0","2","2","1","4","48","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","0","0.0","12861","105150.0"
"10000000002","2","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","4166.666666666667","3.0","0.2","833.3333333333334","0.625","22","25000.0","2","2","1","4","6","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","1","5000.0","13041","110650.0"
"10000000002","327","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","260.4166666666667","48.0","5.9884776","1559.499375","0.625","22","25000.0","2","2","1","4","96","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","2","149711.94","16015","130121.0"
"10000000002","472","0.6000000000000001","0.48","0.6","0.3333333333333333","1136.3636363636363","0.09090909090909091","2400.0","0.6666666666666666","0.4","189.3939393939394","66.0","4.7483744","899.3133333333334","0.625","22","25000.0","2","2","1","4","132","5","12000.0","3","8000.0","2","4000.0","3","4000.0","2500.0","2","2","118709.36","15395","127021.0"
